gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,grade
Male,4.54,69.98,36.47,70.7,53.1,17.96,Yes,No,Master,8.09,D
Female,5.26,84.8,34.25,27.92,87.17,11.29,No,Yes,Bachelor,4.73,D
Male,8.69,73.76,72.29,70.92,99.61,76.1,No,Yes,PhD,8.73,B
Male,4.06,45.0,97.63,31.73,88.85,33.55,No,No,Bachelor,8.22,C
Male,8.83,51.13,65.19,78.28,54.23,88.99,No,No,Bachelor,8.59,C
Female,1.79,53.16,33.61,54.26,79.79,58.23,No,No,Bachelor,5.43,C
Male,7.99,55.47,45.49,87.83,67.37,53.07,No,Yes,High School,5.68,C
Male,8.63,73.92,47.14,95.69,85.06,79.55,Yes,No,Master,6.35,B
Male,2.64,70.24,53.65,56.28,40.72,76.7,No,No,Bachelor,5.12,D
Female,4.87,52.19,33.05,59.54,74.67,73.38,Yes,No,Bachelor,6.33,C
Male,2.49,44.05,93.34,69.26,84.16,72.09,Yes,Yes,Bachelor,4.05,B
Male,7.36,50.29,66.09,39.78,83.29,56.39,No,Yes,Master,8.39,C
Male,5.82,99.06,76.97,94.55,97.45,93.38,Yes,No,PhD,4.81,A
Male,6.72,68.11,34.7,57.47,34.09,90.16,Yes,No,High School,6.5,D
Female,2.77,92.04,33.79,37.51,54.2,39.65,No,No,High School,8.64,D
Male,2.91,90.93,71.05,82.2,63.36,82.42,Yes,No,Bachelor,8.1,B
Female,1.37,70.69,92.11,41.44,51.68,90.2,No,No,PhD,7.88,C
Female,3.9,82.4,66.99,35.76,51.69,65.64,No,No,PhD,7.03,C
Female,6.04,51.57,91.45,67.22,42.33,60.0,Yes,No,PhD,6.18,C
Male,8.72,81.3,86.77,75.36,86.91,70.47,Yes,No,PhD,6.23,B
Female,7.0,56.34,35.31,67.72,93.56,24.68,Yes,Yes,Bachelor,4.43,C
Male,4.92,89.92,44.14,74.24,35.76,17.86,No,No,High School,4.32,D
Female,9.58,45.02,76.04,33.66,40.84,83.81,Yes,Yes,Master,8.22,D
Female,7.47,86.39,61.05,60.7,45.99,61.6,No,No,Bachelor,6.04,C
Female,9.37,46.0,50.35,51.78,65.63,21.03,No,No,Master,4.27,D
Female,5.75,92.87,59.3,98.0,85.38,47.47,No,Yes,High School,7.32,B
Female,3.33,58.25,61.16,28.72,35.0,36.84,No,No,Bachelor,7.42,D
Female,1.48,79.26,93.74,47.37,74.58,88.79,Yes,No,Bachelor,5.14,B
Female,7.53,69.25,37.24,95.64,40.45,55.65,Yes,No,PhD,6.05,C
Female,2.09,61.98,49.58,98.76,98.0,61.98,No,Yes,Master,6.87,B
Male,3.72,78.73,67.63,86.87,92.91,31.18,No,Yes,Master,6.98,B
Male,5.79,96.85,78.88,30.7,96.47,81.92,No,No,Master,6.56,B
Female,6.08,42.48,74.14,67.1,37.43,93.71,Yes,Yes,PhD,5.82,C
Female,6.41,95.13,95.91,55.01,64.16,81.32,Yes,Yes,PhD,4.34,B
Female,2.5,76.54,85.69,85.48,41.57,54.36,Yes,Yes,PhD,4.11,C
Male,4.42,88.44,69.0,29.13,72.02,85.16,Yes,Yes,PhD,6.3,C
Female,6.55,63.03,45.03,39.78,46.29,26.92,Yes,No,Bachelor,5.01,D
Male,9.73,68.31,61.56,61.69,83.94,20.21,No,No,High School,8.69,C
Male,7.55,92.13,78.54,36.82,75.08,49.44,Yes,No,High School,7.2,C
Male,9.3,64.89,88.66,76.95,70.01,26.34,Yes,No,High School,6.93,B
Male,7.86,72.08,97.18,86.56,87.77,33.32,Yes,No,Master,6.03,B
Male,6.33,41.21,72.38,77.84,65.02,62.66,Yes,No,Master,5.65,C
Female,2.73,49.52,66.88,58.02,48.89,46.35,Yes,No,High School,4.9,D
Female,7.0,78.5,31.24,90.88,73.45,87.93,Yes,Yes,Bachelor,4.3,B
Female,6.61,83.02,35.05,35.33,96.99,30.31,No,Yes,PhD,7.17,C
Female,6.42,74.96,40.93,44.53,72.08,99.71,No,No,High School,7.9,C
Female,5.41,48.6,33.83,61.72,74.07,42.35,Yes,No,Master,8.29,C
Male,5.76,66.72,58.06,29.6,95.43,56.39,No,No,Master,7.62,C
Female,4.01,61.31,53.58,32.18,66.07,21.91,No,No,PhD,8.48,D
Female,5.67,69.74,74.61,54.81,99.75,62.14,Yes,Yes,Master,8.91,B
Male,2.78,92.22,67.5,95.79,41.18,96.52,Yes,No,Master,8.81,B
Female,8.25,86.55,71.72,93.13,67.59,77.45,Yes,Yes,PhD,6.96,B
Male,2.67,45.04,63.04,59.95,44.9,31.96,No,No,PhD,5.12,D
